İlanNo,Lokasyon,m²(Brüt),m²(Net),OdaSayısı,BinaYaşı,BulunduğuKat,KatSayısı,Isıtma,BanyoSayısı,Balkon,Eşyalı,KullanımDurumu,Siteİçerisinde,Aidat(TL),Depozito(TL),Kimden,Fiyat
928140153,İstanbul/Ataşehir/KüçükbakkalköyMh.,130,120,2+1,5-10arası,9,10,Doğalgaz(Kombi),2,Var,Hayır,Kiracılı,Evet,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,4100
908938648,İstanbul/Ümraniye/TantaviMah.,90,80,2+1,16-20arası,2,5,Doğalgaz(Kombi),4,Var,Evet,Boş,Hayır,0,150,EmlakOfisinden,750
921227874,İstanbul/Başakşehir/Bahçeşehir2.KısımMh.,77,56,1+1,0,10,28,Merkezi(PayÖlçer),1,Var,Hayır,Boş,Evet,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,3800
927979111,İstanbul/Kadıköy/BostancıMh.,170,138,4+1,3,3,9,Merkezi(PayÖlçer),2,Var,Hayır,Boş,Hayır,325,Belirtilmemiş,EmlakOfisinden,12000
927895382,İstanbul/Beşiktaş/EtilerMah.,184,156,4+1,11-15arası,1,5,Merkezi,2,Yok,Hayır,Boş,Evet,2.950,Belirtilmemiş,EmlakOfisinden,20000
927890981,İstanbul/Beşiktaş/EtilerMah.,284,256,5+1,11-15arası,BahçeKatı,5,Merkezi,4,Yok,Hayır,Boş,Evet,4.323,Belirtilmemiş,EmlakOfisinden,35000
927850534,İstanbul/Beşiktaş/BebekMah.,270,250,5+1,21-25arası,1,5,Merkezi(PayÖlçer),2,Var,Belirtilmemiş,MülkSahibi,Hayır,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,20000
927843902,İstanbul/Şişli/MecidiyeköyMh.,70,65,1+1,4,2,3,Doğalgaz(Kombi),1,Yok,Evet,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,2400
927706964,İstanbul/Şişli/EskişehirMh.,35,30,Stüdyo(1+0),3,2,6,Doğalgaz(Kombi),1,Yok,Hayır,Kiracılı,Hayır,Belirtilmemiş,2.500,EmlakOfisinden,1750
927669406,İstanbul/Büyükçekmece/PınartepeMh.,190,160,3+1,5-10arası,3,5,Merkezi(PayÖlçer),2,Var,Hayır,Boş,Evet,750,14.000,EmlakOfisinden,7000
927663440,İstanbul/Başakşehir/KayabaşıMh.,208,165,4+1,2,11,15,Merkezi(PayÖlçer),2,Var,Evet,Boş,Evet,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,13000
927634815,İstanbul/Kartal/OrhantepeMah.,181,114,3+1,0,11,26,Merkezi(PayÖlçer),2,Var,Hayır,Boş,Evet,575,12.000,EmlakOfisinden,6000
543805890,İstanbul/Beşiktaş/LeventMah.,25,15,Stüdyo(1+0),5-10arası,4,6,Doğalgaz(Kombi),2,Yok,Evet,Boş,Hayır,0,Belirtilmemiş,Sahibinden,1050
