,İşletim Sistemi,İşlemci,Bellek Kapasitesi,Ekran Boyutu (inç),Ekran,Arka kamera çözünürlüğü,Ön Kamera Çözünürlüğü,Yüz Tanıma,Üretici Garantisi
0,iOSiOS,A14,64,6.1,Super,12,12,Evet,2
1,AndroidAndroid,MediaTek,64,6.5,6.5,13-2-2,8,Evet,2
2,AndroidAndroid,Cortex-A75,64,6.53,IPS,13,8,Evet,2
3,AndroidAndroid,MediaTek,128,6.4,AMOLED,Single,16,Evet,2
4,iOSiOS,Yeni,64,6.1,Liquid,Yavaş,7,Evet,1
5,AndroidAndroid,Octa-Core,128,6.5,6.5,Ultra,32,Evet,2
6,AndroidAndroid,MediaTek,64,6.5,,13-2-2,8,Evet,2
7,iOSiOS,A13,256,4.7,Retina,Altı,7,Hayır,2
8,iOSiOS,A13,128,4.7,Retina,Altı,7,Hayır,2
9,AndroidAndroid,Cortex-A75,64,6.53,IPS,13,8,Evet,2
10,iOSiOS,Üçüncü,128,6.1,Liquid,Gece,12,Evet,2
11,iOSiOS,Üçüncü,64,6.1,Liquid,Gece,12,Evet,2
12,AndroidAndroid,Qualcomm,128,6.5,Amoled,48,32,Evet,2
13,iOSiOS,iOSiOS,128,6.1,,Single,7,Evet,2
14,AndroidAndroid,MediaTek,32,6.52,TFT,13,5,Evet,2
15,AndroidAndroid,MediaTek,32,6.52,TFT,13,5,Evet,2
16,AndroidAndroid,MediaTek,128,6.43,AMOLED,48,32,Evet,2
17,AndroidAndroid,Qualcomm,64,6.47,Kavisli,Single,16,Evet,2
18,iOSiOS,A14,,5.4,Süper,Single,12,Evet,2
19,AndroidAndroid,Qualcom,256,,"Folded:6.2""",,,,2
20,iOSiOS,Üçüncü,64,6.1,Liquid,Gece,12,Evet,2
21,iOSiOS,A13,256,4.7,Retina,Altı,7,Hayır,2
22,iOSiOS,A14,64,5.4,Super,12,12,Evet,2
23,AndroidAndroid,MediaTek,32,6.5,Mini-drop,Portre,5,Evet,2
24,iOSiOS,A14,256,5.4,Süper,Single,12,Evet,2
25,iOSiOS,Üçüncü,128,6.1,Liquid,Gece,12,Evet,2
26,,,64,6.47,Kavisli,48,16,Evet,2
27,iOSiOS,A14,64,5.4,Super,12MP,12,Evet,2
28,AndroidAndroid,Kirin,128,6.4,LCDLCD,Bokeh,16,Evet,2
29,AndroidAndroid,MediaTek,64,6.52,TFT,13,8,Evet,2
30,AndroidAndroid,MediaTek,128,6.4,6.4”,48MP,20,Evet,2
31,AndroidAndroid,MediaTek,64,6.52,TFT,13,8,Evet,2
32,AndroidAndroid,,128,6.5,Sonsuz-O,Single,32,,
33,AndroidAndroid,Qualcomm®,64,6.67,FHD+,Ultra,16,Evet,2
34,AndroidAndroid,,128,6.5,Sonsuz-O,Single,32,,2
35,AndroidAndroid,,128,6.5,Sonsuz-O,Single,32,,
36,iOSiOS,A14,512,6.1,Süper,Single,12,Evet,2
37,AndroidAndroid,,128,6.5,Sonsuz-O,Single,32,,
